playerName,yearID,teamID,teamW,teamL,playoffs,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
Jeff Kent,2000,SFN,97,65,y,NL,159,587,114,196,41,7,33,125,12,9,90,107,6,9,0,9,17,7.2
Barry Bonds,2001,SFN,90,72,n,NL,153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5,11.9
Barry Bonds,2002,SFN,95,66,y,NL,143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4,11.8
Barry Bonds,2003,SFN,100,61,y,NL,130,390,111,133,22,1,45,90,7,0,148,58,61,10,0,2,7,9.2
Barry Bonds,2004,SFN,91,71,n,NL,147,373,129,135,27,3,45,101,6,1,232,41,120,9,0,3,5,10.6
Albert Pujols,2005,SLN,100,62,y,NL,161,591,129,195,38,2,41,117,16,2,97,65,27,9,0,3,19,8.4
Ryan Howard,2006,PHI,85,77,n,NL,159,581,104,182,25,1,58,149,0,0,108,181,37,9,0,6,7,5.2
Jimmy Rollins,2007,PHI,89,73,y,NL,162,716,139,212,38,20,30,94,41,6,49,85,5,7,0,6,11,6.1
Albert Pujols,2008,SLN,86,76,n,NL,148,524,100,187,44,0,37,116,7,3,104,54,34,5,0,8,16,9.2
Albert Pujols,2009,SLN,91,71,y,NL,160,568,124,186,45,1,47,135,16,4,115,64,44,9,0,8,23,9.7
Joey Votto,2010,CIN,91,71,y,NL,150,547,106,177,36,2,37,113,16,5,91,125,8,7,0,3,11,7
Ryan Braun,2011,MIL,96,66,y,NL,150,563,109,187,38,6,33,111,33,6,58,93,2,5,0,3,9,7.7
Buster Posey,2012,SFN,94,68,y,NL,148,530,78,178,39,1,24,103,1,1,69,96,7,2,0,9,19,7.6
Andrew McCutchen,2013,PIT,94,68,y,NL,157,583,97,185,38,5,21,84,27,10,78,101,12,9,0,4,13,7.9
Clayton Kershaw,2014,LAN,94,68,y,NL,27,63,5,11,0,1,0,3,1,0,4,23,0,1,6,0,1,0.5
Bryce Harper,2015,WAS,83,79,n,NL,153,521,118,172,38,1,42,99,6,4,124,131,15,5,0,4,15,10
Kris Bryant,2016,CHN,103,58,y,NL,155,603,121,176,35,3,39,102,8,5,75,154,5,18,0,3,3,7.4
Giancarlo Stanton,2017,MIA,77,85,n,NL,159,597,123,168,32,0,59,132,2,2,85,163,13,7,0,3,13,7.9
Christian Yelich,2018,MIL,96,67,y,NL,147,574,118,187,34,7,36,110,22,4,68,135,2,7,0,2,14,7.6
Cody Bellinger,2019,LAN,106,56,y,NL,156,558,121,170,34,3,47,115,15,5,95,108,21,3,0,4,10,9
Anthony Rendon,2019,WAS,93,69,y,NL,146,545,117,174,44,3,34,126,5,1,80,86,8,12,0,9,13,6.3
Christian Yelich,2019,MIL,89,73,y,NL,130,489,100,161,29,3,44,97,30,2,80,118,16,8,0,3,8,7.1
